poi_id,poi_name,poi_type,address,longitude,latitude,description,location_id,location_name,location_longitude,location_latitude,current_temp,current_condition,weather_update_time,star_rating,room_count,scenic_level,max_capacity,enterprise_id,enterprise_name,enterprise_type,relationship_type
1,上海博物馆,scenic_spot,人民大道201号,121.475507,31.228228,中国古代艺术博物馆,1,黄浦区,121.48442,31.231661,15.8,晴,2025/12/24 10:00,,,AAAA,8000,1,上海博物馆,事业单位,管理
2,上海豫园,scenic_spot,安仁街218号,121.492781,31.226483,明代园林古迹,1,黄浦区,121.48442,31.231661,15.8,晴,2025/12/24 10:00,,,AAAA,15000,2,上海豫园旅游商城股份有限公司,上市公司,管理
3,上海城市规划展示馆,scenic_spot,人民大道100号,121.47556,31.231588,城市规划展示中心,1,黄浦区,121.48442,31.231661,15.8,晴,2025/12/24 10:00,,,AAAA,10000,3,上海市规划和自然资源局,政府机构,管理
4,上海田子坊,scenic_spot,泰康路200-1号,121.46973,31.207755,艺术创意街区,1,黄浦区,121.48442,31.231661,15.8,晴,2025/12/24 10:00,,,AAA,8000,4,田子坊文化发展有限公司,民营企业,管理
5,上海老码头景区,scenic_spot,中山南路505号老码头,121.50727,31.217708,历史码头改造景区,1,黄浦区,121.48442,31.231661,15.8,晴,2025/12/24 10:00,,,AAA,23744,5,上海老码头投资管理有限公司,民营企业,管理
6,上海动物园,scenic_spot,虹桥路2381号,121.362928,31.192925,综合性动物园,2,长宁区,121.424751,31.220537,15.2,多云,2025/12/24 10:00,,,AAAA,44000,6,上海动物园,事业单位,管理
7,长风公园·长风海洋世界景区,scenic_spot,大渡河路189号、451号,121.399548,31.224054,公园与海洋馆,3,普陀区,121.39547,31.249618,14.9,多云,2025/12/24 10:00,,,AAAA,50000,7,上海长风海洋世界,民营企业,管理
8,M50艺术产业园,scenic_spot,莫干山路50号,121.449142,31.247988,艺术创意产业园,3,普陀区,121.39547,31.249618,14.9,多云,2025/12/24 10:00,,,AAA,14350,8,M50创意园区管理公司,民营企业,管理
9,上海大宁灵石公园,scenic_spot,广中西路288号,121.443097,31.275776,城市公园,4,静安区,121.447348,31.227718,15.6,晴,2025/12/24 10:00,,,AAA,105247,9,上海静安区绿化市容局,政府机构,管理
10,上海鲁迅公园,scenic_spot,四川北路2288号,121.482945,31.270761,纪念性公园,5,虹口区,121.504994,31.264917,15.3,晴,2025/12/24 10:00,,,AAA,102400,10,上海虹口区绿化市容局,政府机构,管理
11,上海和平公园,scenic_spot,天宝路891号,121.500629,31.271596,城市公园,5,虹口区,121.504994,31.264917,15.3,晴,2025/12/24 10:00,,,AAA,89731,10,上海虹口区绿化市容局,政府机构,管理
12,上海犹太难民纪念馆,scenic_spot,长阳路62号,121.509241,31.254267,历史纪念馆,5,虹口区,121.504994,31.264917,15.3,晴,2025/12/24 10:00,,,AAA,1600,11,上海虹口区文旅局,政府机构,管理
13,上海共青森林公园,scenic_spot,军工路2000号,121.550352,31.319819,生态森林公园,6,杨浦区,121.525409,31.259588,15.1,晴,2025/12/24 10:00,,,AAAA,63000,12,上海共青森林公园,事业单位,管理
14,黄兴公园,scenic_spot,国顺东路369号,121.529626,31.293238,城市公园,6,杨浦区,121.525409,31.259588,15.1,晴,2025/12/24 10:00,,,AAA,65000,13,上海杨浦区绿化市容局,政府机构,管理
15,上海锦江乐园,scenic_spot,虹梅路201号,121.409341,31.140296,综合游乐园,7,闵行区,121.380857,31.112834,14.8,多云,2025/12/24 10:00,,,AAAA,37500,14,锦江国际集团,国有企业,管理
16,上海召稼楼,scenic_spot,沈杜公路2059号,121.549785,31.074066,江南水乡古镇,7,闵行区,121.380857,31.112834,14.8,多云,2025/12/24 10:00,,,AAA,42000,15,上海闵行文旅投资发展有限公司,国有企业,管理
17,上海老外街景区,scenic_spot,虹梅路3338弄,121.387875,31.191292,国际风情街区,7,闵行区,121.380857,31.112834,14.8,多云,2025/12/24 10:00,,,AAA,11692,16,老外街投资发展有限公司,民营企业,管理
18,上海顾村公园,scenic_spot,沪太路4788号,121.385189,31.344728,赏樱花名胜,8,宝山区,121.489431,31.405242,14.5,多云,2025/12/24 10:00,,,AAAA,200780,17,上海顾村公园,事业单位,管理
19,上海东方假日田园,scenic_spot,联杨路3888号,121.325716,31.400166,农业观光园,8,宝山区,121.489431,31.405242,14.5,多云,2025/12/24 10:00,,,AAA,7600,18,东方假日田园旅游发展公司,民营企业,管理
