repo,login,country,city,lat,lon,contributions,raw_location
pytorch/pytorch,pytorchmergebot,,,,,5095,
pytorch/pytorch,ezyang,United States,New York,40.7128,-74.006,3489,"New York, NY"
pytorch/pytorch,malfet,,,,,3181,California
pytorch/pytorch,zou3519,,,,,1808,
pytorch/pytorch,jerryzh168,,,,,1222,Menlo Park
pytorch/pytorch,cyyever,,,,,1205,Singapore
pytorch/pytorch,soumith,United States,New York,40.7128,-74.006,1155,"New York, USA"
pytorch/pytorch,gchanan,,,,,1084,
pytorch/pytorch,anijain2305,,,,,1054,
pytorch/pytorch,peterbell10,United Kingdom,London,51.5072,-0.1276,890,"Scotland, UK"
pytorch/pytorch,apaszke,Germany,Berlin,52.52,13.405,886,"Berlin, Germany"
pytorch/pytorch,suo,,,,,795,
pytorch/pytorch,Chillee,,,,,750,
pytorch/pytorch,janeyx99,,,,,750,
pytorch/pytorch,albanD,,,,,745,
pytorch/pytorch,zdevito,,,,,733,
pytorch/pytorch,desertfire,,,,,697,
pytorch/pytorch,huydhn,,,,,695,
pytorch/pytorch,rohan-varma,,,,,679,NYC
pytorch/pytorch,swolchok,,,,,674,
pytorch/pytorch,colesbury,United States,New York,40.7128,-74.006,661,New York
pytorch/pytorch,jansel,,,,,649,"Mountain View, CA"
pytorch/pytorch,mlazos,,,,,597,
pytorch/pytorch,angelayi,,,,,583,
pytorch/pytorch,eellison,,,,,580,
pytorch/pytorch,smessmer,,,,,545,
pytorch/pytorch,williamwen42,,,,,521,
pytorch/pytorch,bdhirsh,,,,,520,
pytorch/pytorch,bobrenjc93,,,,,516,Bay Area
pytorch/pytorch,kshitij12345,,,,,515,
pytorch/pytorch,pytorchupdatebot,,,,,508,
pytorch/pytorch,vkuzo,United States,New York,40.7128,-74.006,499,"New York, NY"
pytorch/pytorch,wconstab,,,,,488,
pytorch/pytorch,eqy,,,,,480,
pytorch/pytorch,atalman,,,,,477,"Montreal, QC"
pytorch/pytorch,seemethere,,,,,474,California
pytorch/pytorch,drisspg,,,,,472,Los Angeles
pytorch/pytorch,Yangqing,,,,,471,Berkeley
pytorch/pytorch,wanchaol,,,,,469,
pytorch/pytorch,ssnl,,,,,454,
tensorflow/tensorflow,tensorflower-gardener,,,,,57817,
tensorflow/tensorflow,ezhulenev,United States,San Francisco,37.7749,-122.4194,2837,San Francisco
tensorflow/tensorflow,akuegel,,,,,1834,
tensorflow/tensorflow,hawkinsp,,,,,1609,"Princeton, NJ"
tensorflow/tensorflow,mihaimaruseac,United States,San Francisco,37.7749,-122.4194,1555,San Francisco
tensorflow/tensorflow,yongtang,United States,San Francisco,37.7749,-122.4194,1448,"San Francisco Bay Area, CA"
tensorflow/tensorflow,gunan,,,,,1347,CA
tensorflow/tensorflow,caisq,,,,,1251,
tensorflow/tensorflow,mrry,United States,San Francisco,37.7749,-122.4194,1241,"San Francisco, CA"
tensorflow/tensorflow,cheshire,,,,,1161,
tensorflow/tensorflow,roserg,,,,,1131,
tensorflow/tensorflow,benoitsteiner,,,,,1046,
tensorflow/tensorflow,jpienaar,,,,,1034,
tensorflow/tensorflow,pifon2a,,,,,952,Munich
tensorflow/tensorflow,qlzh727,,,,,941,California
tensorflow/tensorflow,d0k,Germany,Berlin,52.52,13.405,939,"Munich, Germany"
tensorflow/tensorflow,River707,,,,,887,
tensorflow/tensorflow,joker-eph,,,,,881,Switzerland
tensorflow/tensorflow,chsigg,,,,,861,Zürich
tensorflow/tensorflow,martinwicke,United States,San Francisco,37.7749,-122.4194,801,San Francisco
tensorflow/tensorflow,yifeif,United States,San Francisco,37.7749,-122.4194,788,San Francisco
tensorflow/tensorflow,ddunl,United States,San Francisco,37.7749,-122.4194,714,San Francisco
tensorflow/tensorflow,allenlavoie,,,,,709,
tensorflow/tensorflow,yangustc07,,,,,702,"Mountain View, CA"
tensorflow/tensorflow,smit-hinsu,,,,,701,
tensorflow/tensorflow,jreiffers,Germany,Berlin,52.52,13.405,671,"Munich, Germany"
tensorflow/tensorflow,jsimsa,United States,San Francisco,37.7749,-122.4194,668,"California, USA"
tensorflow/tensorflow,klucke,,,,,640,"San Jose, CA"
tensorflow/tensorflow,ebrevdo,,,,,635,
tensorflow/tensorflow,alextp,,,,,628,
tensorflow/tensorflow,annarev,,,,,605,
tensorflow/tensorflow,MarkDaoust,,,,,597,
tensorflow/tensorflow,reedwm,,,,,566,
tensorflow/tensorflow,olegshyshkov,,,,,548,Munich
tensorflow/tensorflow,beckerhe,Germany,Berlin,52.52,13.405,537,"Munich, Germany"
tensorflow/tensorflow,jurahul,,,,,536,Cupertino
tensorflow/tensorflow,skye,,,,,531,
tensorflow/tensorflow,majnemer,,,,,520,
tensorflow/tensorflow,andyly,,,,,518,
tensorflow/tensorflow,advaitjain,,,,,509,
huggingface/transformers,ydshieh,France,Paris,48.8566,2.3522,1400,Paris
huggingface/transformers,thomwolf,,,,,1384,
huggingface/transformers,sgugger,,,,,1250,
huggingface/transformers,LysandreJik,France,Paris,48.8566,2.3522,1099,Paris
huggingface/transformers,patrickvonplaten,,,,,793,
huggingface/transformers,gante,United Kingdom,London,51.5072,-0.1276,594,London
huggingface/transformers,stas00,Canada,Toronto,43.6532,-79.3832,517,"BC, Canada"
huggingface/transformers,ArthurZucker,France,Paris,48.8566,2.3522,457,France
huggingface/transformers,Rocketknight1,,,,,444,"Dublin, Ireland"
huggingface/transformers,zucchini-nlp,France,Paris,48.8566,2.3522,431,France
huggingface/transformers,julien-c,,,,,401,"Brooklyn, NY"
huggingface/transformers,Cyrilvallez,United States,San Francisco,37.7749,-122.4194,353,"Lausanne, Switzerland"
huggingface/transformers,younesbelkada,,,,,316,
huggingface/transformers,NielsRogge,,,,,287,Belgium
huggingface/transformers,sshleifer,United States,New York,40.7128,-74.006,281,New York
huggingface/transformers,amyeroberts,United Kingdom,London,51.5072,-0.1276,234,London
huggingface/transformers,SunMarc,,,,,233,
huggingface/transformers,Narsil,,,,,231,
huggingface/transformers,patil-suraj,India,Bangalore,12.9716,77.5946,201,India
huggingface/transformers,VictorSanh,United States,New York,40.7128,-74.006,195,New York City
huggingface/transformers,stevhliu,,,,,191,Yay Area
huggingface/transformers,cyyever,,,,,174,Singapore
huggingface/transformers,yonigozlan,,,,,158,
huggingface/transformers,dependabot[bot],,,,,150,
huggingface/transformers,mrm8488,,,,,149,"Murcia, Spain"
huggingface/transformers,sanchit-gandhi,United Kingdom,London,51.5072,-0.1276,149,"London, UK"
huggingface/transformers,muellerzr,,,,,145,
huggingface/transformers,MekkCyber,France,Paris,48.8566,2.3522,139,Paris
huggingface/transformers,vasqu,,,,,135,
huggingface/transformers,mfuntowicz,France,Paris,48.8566,2.3522,132,"Paris, France"
huggingface/transformers,jplu,France,Paris,48.8566,2.3522,113,Paris
huggingface/transformers,aaugustin,France,Paris,48.8566,2.3522,95,"Paris, France"
huggingface/transformers,Sai-Suraj-27,,,,,89,
huggingface/transformers,faaany,China,Shanghai,31.2304,121.4737,85,"Shanghai, China"
huggingface/transformers,stefan-it,Germany,Berlin,52.52,13.405,85,"Bavarian Oberland, Germany"
huggingface/transformers,yao-matrix,China,Shanghai,31.2304,121.4737,83,Shanghai
huggingface/transformers,jiqing-feng,,,,,83,
huggingface/transformers,remi-or,France,Paris,48.8566,2.3522,83,Paris
huggingface/transformers,rlouf,France,Paris,48.8566,2.3522,83,"Bourron-Marlotte, France"
huggingface/transformers,qubvel,,,,,83,
langchain-ai/langchain,baskaryan,,,,,1398,
langchain-ai/langchain,hwchase17,,,,,1235,
langchain-ai/langchain,ccurme,,,,,1023,
langchain-ai/langchain,mdrxy,,,,,756,"Cambridge, MA"
langchain-ai/langchain,eyurtsev,,,,,754,Boston
langchain-ai/langchain,cbornet,France,Paris,48.8566,2.3522,397,"Bordeaux, France"
langchain-ai/langchain,leo-gan,Canada,Toronto,43.6532,-79.3832,379,"Vancouver, Canada"
langchain-ai/langchain,nfcampos,United Kingdom,London,51.5072,-0.1276,351,London
langchain-ai/langchain,hinthornw,,,,,313,
langchain-ai/langchain,dependabot[bot],,,,,235,
langchain-ai/langchain,sydney-runkle,,,,,179,"Somerville, MA"
langchain-ai/langchain,jacoblee93,United States,San Francisco,37.7749,-122.4194,151,San Francisco
langchain-ai/langchain,vowelparrot,,,,,146,The Interwebs
langchain-ai/langchain,rlancemartin,,,,,128,
langchain-ai/langchain,dev2049,,,,,124,
langchain-ai/langchain,tomasonjo,,,,,99,
langchain-ai/langchain,keenborder786,,,,,97,
langchain-ai/langchain,olgavrou,,,,,89,
langchain-ai/langchain,obi1kenobi,,,,,82,
langchain-ai/langchain,MichaelLi65535,,,,,81,
langchain-ai/langchain,eltociear,Japan,Tokyo,35.6762,139.6503,67,"Tokyo, Japan"
langchain-ai/langchain,isahers1,,,,,54,
langchain-ai/langchain,agola11,United States,San Francisco,37.7749,-122.4194,50,"San Francisco, CA"
langchain-ai/langchain,lkuligin,,,,,49,
langchain-ai/langchain,sepiatone,United States,San Francisco,37.7749,-122.4194,43,"Cambridge, USA"
langchain-ai/langchain,ZhangShenao,China,Beijing,39.9042,116.4074,42,Beijing
langchain-ai/langchain,maang-h,,,,,41,
langchain-ai/langchain,langchain-model-profile-bot[bot],,,,,40,
langchain-ai/langchain,liugddx,,,,,36,hefei
langchain-ai/langchain,chyroc,China,Beijing,39.9042,116.4074,35,China
langchain-ai/langchain,MthwRobinson,,,,,33,
langchain-ai/langchain,vbarda,United States,New York,40.7128,-74.006,33,"New York, NY"
langchain-ai/langchain,pprados,France,Paris,48.8566,2.3522,32,Paris
langchain-ai/langchain,169,,,,,32,
langchain-ai/langchain,ShorthillsAI,India,Bangalore,12.9716,77.5946,30,India
langchain-ai/langchain,mspronesti,,,,,29,"Dublin, Ireland"
langchain-ai/langchain,hemidactylus,,,,,29,
langchain-ai/langchain,DangerousPotential,,,,,29,
langchain-ai/langchain,MateuszOssGit,,,,,28,
langchain-ai/langchain,jhpiedrahitao,,,,,27,Bogotá - Colombia
numpy/numpy,charris,United States,San Francisco,37.7749,-122.4194,7212,"Logan, Utah; USA"
numpy/numpy,mattip,,,,,2980,
numpy/numpy,seberg,,,,,2964,
numpy/numpy,teoliphant,,,,,2065,"Austin, TX"
numpy/numpy,cournape,Japan,Tokyo,35.6762,139.6503,1525,"Tokyo, Japan"
numpy/numpy,rgommers,Netherlands,Amsterdam,52.3676,4.9041,1445,Netherlands
numpy/numpy,eric-wieser,,,,,1239,"Seattle, WA"
numpy/numpy,pearu,,,,,1107,Estonia
numpy/numpy,jorenham,Netherlands,Amsterdam,52.3676,4.9041,963,"Delft, the Netherlands"
