repo,login,country,city,lat,lon,contributions
pytorch/pytorch,ezyang,United States,New York,40.7128,-74.006,3489
pytorch/pytorch,soumith,United States,New York,40.7128,-74.006,1155
pytorch/pytorch,peterbell10,United Kingdom,London,51.5072,-0.1276,890
pytorch/pytorch,apaszke,Germany,Berlin,52.52,13.405,886
pytorch/pytorch,colesbury,United States,New York,40.7128,-74.006,661
pytorch/pytorch,vkuzo,United States,New York,40.7128,-74.006,499
tensorflow/tensorflow,ezhulenev,United States,San Francisco,37.7749,-122.4194,2837
tensorflow/tensorflow,mihaimaruseac,United States,San Francisco,37.7749,-122.4194,1555
tensorflow/tensorflow,yongtang,United States,San Francisco,37.7749,-122.4194,1448
tensorflow/tensorflow,mrry,United States,San Francisco,37.7749,-122.4194,1241
tensorflow/tensorflow,d0k,Germany,Berlin,52.52,13.405,939
tensorflow/tensorflow,martinwicke,United States,San Francisco,37.7749,-122.4194,801
tensorflow/tensorflow,yifeif,United States,San Francisco,37.7749,-122.4194,788
tensorflow/tensorflow,ddunl,United States,San Francisco,37.7749,-122.4194,714
tensorflow/tensorflow,jreiffers,Germany,Berlin,52.52,13.405,671
tensorflow/tensorflow,jsimsa,United States,San Francisco,37.7749,-122.4194,668
tensorflow/tensorflow,beckerhe,Germany,Berlin,52.52,13.405,537
huggingface/transformers,ydshieh,France,Paris,48.8566,2.3522,1400
huggingface/transformers,LysandreJik,France,Paris,48.8566,2.3522,1099
huggingface/transformers,gante,United Kingdom,London,51.5072,-0.1276,594
huggingface/transformers,stas00,Canada,Toronto,43.6532,-79.3832,517
huggingface/transformers,ArthurZucker,France,Paris,48.8566,2.3522,457
huggingface/transformers,zucchini-nlp,France,Paris,48.8566,2.3522,431
huggingface/transformers,Cyrilvallez,United States,San Francisco,37.7749,-122.4194,353
huggingface/transformers,sshleifer,United States,New York,40.7128,-74.006,281
huggingface/transformers,amyeroberts,United Kingdom,London,51.5072,-0.1276,234
huggingface/transformers,patil-suraj,India,Bangalore,12.9716,77.5946,201
huggingface/transformers,VictorSanh,United States,New York,40.7128,-74.006,195
huggingface/transformers,sanchit-gandhi,United Kingdom,London,51.5072,-0.1276,149
huggingface/transformers,MekkCyber,France,Paris,48.8566,2.3522,139
huggingface/transformers,mfuntowicz,France,Paris,48.8566,2.3522,132
