repo,issue_id,title,state,created_at,closed_at,issue_type
pytorch/pytorch,6437,[caffe2] Double precision for operators?,closed,2018-04-09,2026-05-10,Question
tensorflow/tensorflow,118044,Repro: SRGAN Generator block8_final_conv NaN on GPU vs finite on CPU (minimal test bundle),open,2026-05-10,,Question
tensorflow/tensorflow,77823,Aborted (core dumped) due to Overflow : `tf.raw_ops.IRFFT2D`,closed,2024-10-13,2026-05-10,Question
tensorflow/tensorflow,117864,`tf.linalg.eigvalsh` / `eigh` returns wrong results for complex input under XLA,open,2026-05-07,,Bug
tensorflow/tensorflow,97387,TensorFlow was not built with CUDA kernel binaries compatible with compute capability 12.0 CUDA_ERROR_INVALID_HANDLE,open,2025-07-23,,Bug
huggingface/transformers,45160,Add AEO quality badge to README,closed,2026-04-01,2026-05-10,Feature Request
huggingface/transformers,45341,A little bug in testing_utils.py,open,2026-04-09,,Bug
huggingface/transformers,45865,[Feature Request] Add lossy speculative decoding via static ensemble verification,open,2026-05-10,,Feature Request
huggingface/transformers,45864,PretrainedConfig.from_pretrained: silent default on missing config.json,closed,2026-05-09,2026-05-09,Question
huggingface/transformers,45853,Provide HF_USE_MLX=0 / public flag to disable MLX backend detection at import time,open,2026-05-08,,Question
huggingface/transformers,45854,pipeline text-generation ignores return_full_text=False with chat template,open,2026-05-09,,Installation
huggingface/transformers,45859,`Qwen3_5MoeTextRotaryEmbedding.forward` is not compatible with CPU offload,open,2026-05-09,,Compatibility
huggingface/transformers,45850,Since 5.0 version it breaks too many models,open,2026-05-08,,Compatibility
huggingface/transformers,45820,DeepSeekV4 的 CSA Indexer 因果 mask,open,2026-05-07,,Question
huggingface/transformers,45313,Qwen3.5: DeepSpeed ZeRO-3 fails to load weights for language_model,open,2026-04-08,,Bug
huggingface/transformers,45331,[Gemma4] Bug: audio token missing newline separators in chat_template.jinja causes multimodal failure when image precedes audio,open,2026-04-09,,Bug
huggingface/transformers,16157,Implement Maximal Update Parametrization (muP),open,2022-03-14,,Question
huggingface/transformers,44625,Qwen3.5 `num_labels` not propagated from core config to text config,closed,2026-03-12,2026-05-08,Question
huggingface/transformers,45800,incompatiblity between torch 2.4.1 and transformers 5.8.0,closed,2026-05-06,2026-05-08,Question
langchain-ai/langchain,37314,Feature: callback handler for AI agent threat detection (Agent Threat Rules),closed,2026-05-10,2026-05-10,Feature Request
langchain-ai/langchain,37313,Feature: callback handler for AI agent threat detection (Agent Threat Rules),closed,2026-05-10,2026-05-10,Feature Request
langchain-ai/langchain,37297,Bug: SSRF bypass in validate_safe_url when LANGCHAIN_ENV=local_test,open,2026-05-09,,Bug
langchain-ai/langchain,33504,create_agent Does Not Handle invalid_tool_calls from JSON Parsing Errors (langchain alpha v1),open,2025-10-15,,Bug
langchain-ai/langchain,36306,Feature Request: Payment primitive integration — x402 payment layer for paid API consumption,open,2026-03-27,,Feature Request
langchain-ai/langchain,37312,Easier multimodal tool,open,2026-05-10,,Question
langchain-ai/langchain,37311,Schema class for multimodal message,open,2026-05-10,,Question
langchain-ai/langchain,37310,Security: OWASP Agent Memory Guard – protect against memory poisoning attacks,closed,2026-05-10,2026-05-10,Performance
langchain-ai/langchain,37309,Feature: callback handler for AI agent threat detection (Agent Threat Rules),closed,2026-05-10,2026-05-10,Feature Request
langchain-ai/langchain,37307,I want `@tool` defined tool available to return multimodal data,closed,2026-05-09,2026-05-10,Question
langchain-ai/langchain,37296,Bug: path traversal in Chroma.add_images() via unsanitized URI,open,2026-05-09,,Bug
langchain-ai/langchain,36957,`create_agent`: stale `structured_response` from checkpoint causes premature exit on next turn,open,2026-04-22,,Question
langchain-ai/langchain,37222,docs(langchain): missing prompt docstrings in load_qa_chain,closed,2026-05-06,2026-05-09,Documentation
langchain-ai/langchain,37306,Proposal: Agent Threat Rules detection middleware for LangChain v1,closed,2026-05-09,2026-05-09,Question
langchain-ai/langchain,37305,Proposal: Agent Threat Rules detection middleware for LangChain v1,closed,2026-05-09,2026-05-09,Question
langchain-ai/langchain,37304,Proposal: Agent Threat Rules detection middleware for LangChain v1,closed,2026-05-09,2026-05-09,Question
langchain-ai/langchain,37290,ProviderStrategy does not allow passing strict  into the mistral ai   JSON Schema response_format,open,2026-05-09,,Question
langchain-ai/langchain,35872,Integration: ProfitPlay prediction market tools for LangChain agents,open,2026-03-14,,Question
langchain-ai/langchain,32067,Potential validation issue when using `StateLike` in `Annotation` for a tool,open,2025-07-16,,Question
langchain-ai/langchain,37245,Proposal: Agent Compensation Middleware for Multi-Step Rollback for workflows,open,2026-05-08,,Question
langchain-ai/langchain,35011,Streaming bypasses guardrails/middleware,open,2026-02-04,,Question
numpy/numpy,17835,"linalg.lstsq nan error not caught by numpy, get MKL error message",open,2020-11-24,,Bug
numpy/numpy,26038,"""Warning: Numpy built with MINGW-W64 on Windows 64 bits"" + Crash",open,2024-03-15,,Bug
numpy/numpy,31351,ENH: Add armv7l wheel (manylinux/musllinux),closed,2026-04-28,2026-05-09,Feature Request
numpy/numpy,28360,BUG: `dtype(ctypes.c_longdouble_complex)` results in `dtype('complex64')`,open,2025-02-20,,Bug
numpy/numpy,31204,ENH: Support importing complex `array`s from standard library,closed,2026-04-10,2026-05-08,Feature Request
numpy/numpy,31398,ENH: Add randomized tie-breaking feature to `numpy.argmax` and `numpy.argmin` functions,open,2026-05-07,,Feature Request
numpy/numpy,31400,CI: Newly added test_limited_api is failing,closed,2026-05-08,2026-05-08,Bug
numpy/numpy,31405,request to review my PR,closed,2026-05-08,2026-05-08,Feature Request
numpy/numpy,21094,ENH: Support IEEE long double on ppc64 in tests,open,2022-02-19,,Feature Request
numpy/numpy,29178,NumPy Security roadmap proposal,open,2025-06-11,,Question
numpy/numpy,31292,ENH: memory-efficient `np.cov` for `n_samples >> n_features`,open,2026-04-21,,Feature Request
numpy/numpy,31361,BUG/TST: `_DeprecationTestCase` doesn't actually test for a match of its `message` attribute.,closed,2026-04-29,2026-05-07,Bug
numpy/numpy,31349,ENH: faster days→year/month/day in datetime.c (Joffe fast-date-64),closed,2026-04-28,2026-04-28,Question
numpy/numpy,31392,BUG: __pycache__ directory included in 3.11 wheels,closed,2026-05-05,2026-05-07,Bug
numpy/numpy,31337,BUG: Failed to build numpy on Windows using intel compiler,closed,2026-04-26,2026-05-05,Bug
numpy/numpy,31386,MKL 2026.0.0 does not get detected,closed,2026-05-04,2026-05-05,Question
numpy/numpy,31382,BUG: wrong parameter type of scalar function when converting array of np.datetime64 to array of datetime.datetime using np.vectorize,open,2026-05-04,,Bug
numpy/numpy,31384,Embed Agent Friendly Code Score Badge,closed,2026-05-04,2026-05-04,Question
pandas-dev/pandas,60895,"Support for Storing and Retrieving Complex Data Types (e.g., Embeddings) in Pandas DataFrames",closed,2025-02-09,2026-05-10,Feature Request
pandas-dev/pandas,64429,PERF: Avoid intermediate `ndarray[object]` array when constructing a pyarrow-backed string data from untyped data,open,2026-03-06,,Question
pandas-dev/pandas,53721,"API: with CoW, should every new Series/DataFrame object also have its own new Index objects?",open,2023-06-19,,Question
pandas-dev/pandas,55731,BUG: pd.read_parquet with first batch full of Nones leads to exception,open,2023-10-27,,Bug
pandas-dev/pandas,49749,ENH:  Add `pd.Series.stack() -> pd.MultiIndex`,open,2022-11-17,,Feature Request
pandas-dev/pandas,59585,"ENH: `DataFrame.struct.explode(column, *, separator=""."")` method to pull struct subfields into the parent DataFrame",closed,2024-08-23,2026-05-10,Question
pandas-dev/pandas,28007,OverflowError: value too large to convert to int,closed,2019-08-19,2026-05-10,Bug
pandas-dev/pandas,47102,BUG: HDFStore: Compression not supported on Fixed format stores,closed,2022-05-24,2026-05-10,Bug
pandas-dev/pandas,31199,Writing HDF5 with StringDtype columns fails with AttributeError: 'StringArray' object has no attribute 'size',closed,2020-01-22,2026-05-10,Bug
pandas-dev/pandas,16623,Order of Categories in unordered Categorical causes query bugs in read_hdf,closed,2017-06-07,2026-05-10,Bug
pandas-dev/pandas,54320,DOC[?]: Example for ts regression with overloaded .shift,closed,2023-07-31,2026-05-09,Documentation
pandas-dev/pandas,24823,HDFExtError: Problem creating the table,open,2019-01-18,,Bug
pandas-dev/pandas,41978,BUG: PeriodIndex inconsistent deserialization with HDF5 - PyTables,open,2021-06-13,,Bug
pandas-dev/pandas,39138,BUG: Unable to write to hdf when format='table' and list-like values are present in a column,closed,2021-01-13,2026-05-09,Bug
pandas-dev/pandas,34596,BUG: DataFrame.attrs are lost when writing to HDF5,closed,2020-06-05,2026-05-09,Bug
pandas-dev/pandas,26973,HDFStore cannot read Pytables file when where specified,closed,2019-06-20,2026-05-09,Question
pandas-dev/pandas,9042,API/ENH: query an HDF5 store with a named index,closed,2014-12-08,2026-05-09,Question
pandas-dev/pandas,6833,ENH: Read entire group of an HDF5 file in a single call,closed,2014-04-07,2026-05-09,Question
pandas-dev/pandas,6245,ENH: write Table meta-data (non_index_axes) as a CArray (rather than as meta-data),closed,2014-02-03,2026-05-09,Question
pandas-dev/pandas,8392,ENH/BUG/DOC: HDFStore.append() on axis other than DataFrame.index or Panel.major_axis,closed,2014-09-25,2026-05-09,Bug
pandas-dev/pandas,6906,Should HDFStore.select respect local variable evaluation rules like query/eval?,closed,2014-04-17,2026-05-09,Question
pandas-dev/pandas,9590,Support for tables with unlimited columns in HDF,closed,2015-03-04,2026-05-09,Feature Request
pandas-dev/pandas,8319,ENH: add option to HDFStore.put/append to optionally store the index of the object (default for back compat is True),closed,2014-09-19,2026-05-09,Feature Request
pandas-dev/pandas,7363,Resume existing index when appending to a HDFStore,closed,2014-06-06,2026-05-09,Question
pandas-dev/pandas,6857,Updating HDFStore in place,closed,2014-04-10,2026-05-09,Question
pandas-dev/pandas,6805,HDFStore method to get the columns from a table,closed,2014-04-04,2026-05-09,Question
pandas-dev/pandas,4454,ENH: allow column oriented table storage in HDFStore,closed,2013-08-02,2026-05-09,Question
pandas-dev/pandas,12236,BUG: read_hdf is not read-threadsafe,open,2016-02-05,,Bug
pandas-dev/pandas,31902,Add generic buffer (s3) support to read_hdf,closed,2020-02-11,2026-05-09,Feature Request
pandas-dev/pandas,10018,newline defaults for read_csv and write_csv are not consistent,open,2015-04-29,,Question
pandas-dev/pandas,16452,Suggestion: changing default `float_format` in `DataFrame.to_csv()`,open,2017-05-23,,Question
pandas-dev/pandas,21890,Why is dropna default value is True in value_counts() methods/functions ?,open,2018-07-13,,Question
pandas-dev/pandas,24468,read_csv should default to index_col = 0,open,2018-12-28,,Question
pandas-dev/pandas,40427,"""drop"" fails by default when label to drop is not in the index, but ""rename"" silently passes by. Wouldn't it make sense to synchronize?",open,2021-03-14,,Bug
pandas-dev/pandas,42821,ENH: change default min_count value for pandas.core.resample.Resampler.sum(),open,2021-07-30,,Question
pandas-dev/pandas,45959,QST: Why to_json defaults to force_ascii=True,open,2022-02-12,,Question
pandas-dev/pandas,51351,API: Index.intersection sort keyword default different from other set methods,open,2023-02-12,,Question
pandas-dev/pandas,52196,"API: In Series.map, change the default value for na_action to ""ignore""""",open,2023-03-25,,Question
pandas-dev/pandas,52967,ENH: switch to copy=False by default when DataFrame is constructed from dict of Series/Index for CoW,open,2023-04-27,,Question
pandas-dev/pandas,61681,ENH: the error behaviour in pandas operation should be consistent rename erros are ignore by default whereas drop erros are raise,open,2025-06-20,,Bug
pandas-dev/pandas,65320,ENH: `df.duplicated()` default behavior should default to tagging all duplicates as `True`,open,2026-04-21,,Question
scikit-learn/scikit-learn,32393,"⚠️ CI failed on Wheel builder (last failure: Apr 29, 2026) ⚠️",open,2025-10-06,,Bug
scikit-learn/scikit-learn,33470,"⚠️ CI failed on Unit tests Linux x86-64 pylatest_free_threaded (last failure: May 09, 2026) ⚠️",open,2026-03-06,,Bug
scikit-learn/scikit-learn,33387,"⚠️ CI failed on Unit tests Linux x86-64 pylatest_conda_forge_mkl (last failure: May 10, 2026) ⚠️",open,2026-02-24,,Bug
scikit-learn/scikit-learn,20211,Word n-grams for Devanagari script are not generated correctly.,open,2021-06-04,,Question
scikit-learn/scikit-learn,33963,[FEA] Add Ambiguity Range metric for safety-critical classification,open,2026-05-09,,Feature Request
scikit-learn/scikit-learn,33960,PERF: Avoid unnecessary n_samples x n_samples diagonal sparse matrix in `_rescale_data`,open,2026-05-09,,Question
scikit-learn/scikit-learn,33958,META: Use narwhals in codebase,open,2026-05-09,,Question
scikit-learn/scikit-learn,33885,"LogisticRegressionCV with use_legacy_attributes=False, refit=False",closed,2026-04-28,2026-05-09,Question
scikit-learn/scikit-learn,27484,Allow LogisticRegression with lbfgs solver to control `maxfun` parameter of solver,closed,2023-09-27,2026-05-04,Question
scikit-learn/scikit-learn,33950,"⚠️ CI failed on Unit tests macOS pylatest_conda_forge_arm (last failure: May 08, 2026) ⚠️",closed,2026-05-08,2026-05-08,Bug
scikit-learn/scikit-learn,33939,"⚠️ CI failed on Unit tests Linux x86-64 pylatest_pip_scipy_dev (last failure: May 07, 2026) ⚠️",closed,2026-05-07,2026-05-08,Bug
scikit-learn/scikit-learn,33557,DOC fix/refactor examples using `DecisionBoundaryDisplay`,open,2026-03-16,,Documentation
scikit-learn/scikit-learn,33710,[Callbacks] VS Code debugger fails with `EOFError` during Callback instance creation,closed,2026-04-08,2026-05-08,Bug
