repo,cluster,pca_x,pca_y,anomaly_label,anomaly_reason,stars,forks,contributors,commits_recent,issues_recent,prs_recent,popularity_score,activity_score,health_score,globalization_score
tensorflow/tensorflow,2,7.872978695779782,-2.3317048029373395,anomaly,国际化不足,195050,75268,40,60,4,60,1.0,0.7292682926829268,0.5448170731707317,0.2568181818181818
flutter/flutter,3,3.396161122941975,-5.100551978128643,anomaly,高热度低活跃,176261,30345,20,30,6,30,0.9473972559582968,0.3905126085159157,0.2392948187956455,0.3825
ollama/ollama,3,2.7316905857183866,-2.5362254667829065,normal,正常,171134,16054,20,30,20,30,0.8966032210994983,0.4929516329061596,0.3274045748932065,0.55
huggingface/transformers,2,7.0933286149213695,0.016461306237604133,anomaly,多维指标偏离常规项目,160439,33151,40,60,14,60,0.9194037416657364,0.8024390243902438,0.5845383275261323,0.8071428571428572
langgenius/dify,3,2.0236966883829313,-1.7304343223054253,normal,正常,140827,22101,20,30,15,30,0.8880819188786485,0.456366267052501,0.4057582334297919,0.3825
vercel/next.js,3,2.204930413717367,-2.63606725680855,normal,高热度低活跃、国际化不足,139360,31041,20,30,3,30,0.912716928909944,0.3685613890037206,0.4088070139175968,0.3482142857142857
open-webui/open-webui,3,1.5976234873729656,-1.0114230997216875,normal,高热度低活跃、国际化不足,136447,19432,20,30,8,30,0.8752508843774265,0.4051467548573791,0.4971200220476781,0.3625
langchain-ai/langchain,2,6.62025172197219,1.9647017898364827,anomaly,多维指标偏离常规项目,136309,22529,40,60,21,60,0.888192296893985,0.8536585365853658,0.7080574912891986,0.8500000000000001
kubernetes/kubernetes,3,2.4657222795674003,-3.4690476876198724,normal,高热度低活跃、国际化不足,122171,43017,20,30,10,30,0.929453610472087,0.4197809011988425,0.2882785586330439,0.375
supabase/supabase,3,1.094358898515022,-3.0220693525602416,normal,高热度低活跃、国际化不足,102125,12348,20,30,8,30,0.8427256382448125,0.4051467548573791,0.2262866887143447,0.3249999999999999
angular/angular,3,1.8728273499235313,-1.4202765428399948,normal,高热度低活跃,100067,27209,20,30,10,30,0.899042856671577,0.4197809011988425,0.4382785586330439,0.55
pytorch/pytorch,2,7.149369962639927,-0.7348656802780879,anomaly,国际化不足,99788,27738,40,60,1,60,0.8879554844169604,0.7073170731707317,0.6768292682926829,0.3625
fastapi/fastapi,3,0.787610287355035,-2.6479010268704877,normal,高热度低活跃,98068,9223,20,30,3,30,0.8326488497456301,0.3685613890037206,0.2588070139175968,0.4625
ant-design/ant-design,3,2.2661827347154704,-1.6625908527221107,normal,国际化不足,97986,54606,20,30,12,30,0.8632606505065804,0.4344150475403059,0.4794370952184098,0.235576923076923
