repo,pr_id,title,state,created_at,closed_at,merged_at
pytorch/pytorch,177156,inductor: improve divisibility propagation for symbolic products in S…,open,2026-03-11,,
pytorch/pytorch,183106,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,182332,refactor(dynamo): Implement tp_repr via generic_repr,open,2026-05-04,,
pytorch/pytorch,182241,"[Dynamo]: Make super().__new__(cls, tensor) traceable in Tensor subclasses",open,2026-05-03,,
pytorch/pytorch,164733,[Partial-fix] Fix out_dtype for addmm for cuda,open,2025-10-06,,
pytorch/pytorch,180237,Drop setuptools concat_license_files; adopt PEP 639 license-files,open,2026-04-13,,
pytorch/pytorch,183043,[xpu][fix] Skip float64 autocast tests on XPU,open,2026-05-09,,
pytorch/pytorch,182902,[HOP] Implementation of torch.switch (1/N),open,2026-05-07,,
pytorch/pytorch,172436,[AOTI] Enable shared model loading from directory to avoid redundant unzipping,open,2026-01-14,,
pytorch/pytorch,183102,fix: compilation issues in mem_eff_attention with clang,open,2026-05-10,,
pytorch/pytorch,182233,Fix torch.combinations dynamic shape support by replacing numel with sym_numel and propagating SymInt,open,2026-05-02,,
pytorch/pytorch,183042,[xpu][fix] Relax tolerance for Triton GEMM epilogue truncation test on XPU float16,open,2026-05-09,,
pytorch/pytorch,182980,Clear exception tracebacks to avoid reference cycles,open,2026-05-08,,
pytorch/pytorch,183044,[xpu][fix] Use proper device stream in TestCachingAutotunerPlugin tests,open,2026-05-09,,
pytorch/pytorch,183025,[xpu][fix] Update KERNEL_COUNT_OVERRIDES for capturable optimizers on XPU,open,2026-05-09,,
pytorch/pytorch,178500,[autograd] Support Mapping and OrderedDict inputs for autograd.grad and autograd.backward,open,2026-03-26,,
pytorch/pytorch,183105,Fix formatting in extensions.json,open,2026-05-10,,
pytorch/pytorch,183104,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,183103,[TESTING] [skip ci] ghexport bidirectional smoketest,closed,2026-05-10,2026-05-10,
pytorch/pytorch,152828,[MSVC] Remove redundant MEM_EFF_ATTENTION_CUDA_SOURCES definition as /Zc:lambda is set globally for C++20 by default,open,2025-05-05,,
