repo,stars_latest,stars_30m_ago,stars_24h_ago,growth_30m,growth_24h,window_30m_available,window_24h_available,snapshot_count,note,collected_at
ultralytics/ultralytics,56958,56958,56958,0,0,True,True,164,已按历史快照计算,2026-05-11T18:12:07.393187+00:00
appwrite/appwrite,56030,56030,56030,0,0,True,True,124,已按历史快照计算,2026-05-11T18:12:07.401197+00:00
vuejs/core,53641,53641,53641,0,0,True,True,132,已按历史快照计算,2026-05-11T18:12:07.399187+00:00
expo/expo,49351,49351,49351,0,0,True,False,25,缺少 24 小时前快照,2026-05-11T18:12:07.422243+00:00
run-llama/llama_index,49300,49300,49300,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.392180+00:00
pandas-dev/pandas,48710,48710,48710,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.378493+00:00
hashicorp/terraform,48367,48367,48367,0,0,True,True,146,已按历史快照计算,2026-05-11T18:12:07.397195+00:00
prisma/prisma,45925,45925,45925,0,0,True,True,127,已按历史快照计算,2026-05-11T18:12:07.400195+00:00
apache/airflow,45344,45344,45344,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.389179+00:00
streamlit/streamlit,44528,44528,44528,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.391171+00:00
milvus-io/milvus,44216,44216,44216,0,0,True,True,163,已按历史快照计算,2026-05-11T18:12:07.393187+00:00
getsentry/sentry,43811,43811,43811,0,0,True,False,40,缺少 24 小时前快照,2026-05-11T18:12:07.419234+00:00
apache/spark,43249,43249,43249,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.381494+00:00
gradio-app/gradio,42543,42543,42543,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.392180+00:00
ray-project/ray,42482,42482,42482,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.379501+00:00
HKUDS/nanobot,42137,42137,42137,0,0,True,True,95,已按历史快照计算,2026-05-11T18:12:07.408190+00:00
pingcap/tidb,40075,40075,40075,0,0,True,True,123,已按历史快照计算,2026-05-11T18:12:07.401197+00:00
facebookresearch/faiss,39982,39982,39982,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.389179+00:00
photoprism/photoprism,39651,39651,39651,0,0,True,True,111,已按历史快照计算,2026-05-11T18:12:07.404186+00:00
istio/istio,38185,38185,38185,0,0,True,True,141,已按历史快照计算,2026-05-11T18:12:07.397195+00:00
duckdb/duckdb,38045,38045,38045,0,0,True,True,152,已按历史快照计算,2026-05-11T18:12:07.395186+00:00
docker/compose,37365,37365,37365,0,0,True,True,147,已按历史快照计算,2026-05-11T18:12:07.396199+00:00
typeorm/typeorm,36476,36476,36476,0,0,True,True,126,已按历史快照计算,2026-05-11T18:12:07.401197+00:00
jax-ml/jax,35585,35585,35585,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.379501+00:00
nextcloud/server,34856,34856,34856,0,0,True,True,116,已按历史快照计算,2026-05-11T18:12:07.403187+00:00
PostHog/posthog,34384,34384,34384,0,0,False,False,1,只有一次采集快照，无法计算真实增长,2026-05-11T18:12:07.428233+00:00
alibaba/nacos,32931,32931,32931,0,0,True,True,122,已按历史快照计算,2026-05-11T18:12:07.402186+00:00
lutzroeder/netron,32855,32855,32855,0,0,True,True,108,已按历史快照计算,2026-05-11T18:12:07.405187+00:00
apache/kafka,32549,32549,32549,0,0,True,True,156,已按历史快照计算,2026-05-11T18:12:07.395186+00:00
seaweedfs/seaweedfs,32184,32184,32184,0,0,True,False,57,缺少 24 小时前快照,2026-05-11T18:12:07.416243+00:00
cockroachdb/cockroach,32141,32141,32141,0,0,True,True,66,已按历史快照计算,2026-05-11T18:12:07.414232+00:00
numpy/numpy,31999,31999,31999,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.378493+00:00
hasura/graphql-engine,31969,31969,31969,0,0,True,True,125,已按历史快照计算,2026-05-11T18:12:07.401197+00:00
qdrant/qdrant,31201,31201,31201,0,0,True,True,162,已按历史快照计算,2026-05-11T18:12:07.393187+00:00
openai/openai-python,30732,30732,30732,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.387173+00:00
helm/helm,29793,29793,29793,0,0,True,True,148,已按历史快照计算,2026-05-11T18:12:07.396199+00:00
academic/awesome-datascience,29158,29158,29158,0,0,True,True,109,已按历史快照计算,2026-05-11T18:12:07.405187+00:00
alibaba/spring-cloud-alibaba,29106,29106,29106,0,0,True,True,121,已按历史快照计算,2026-05-11T18:12:07.402186+00:00
dmlc/xgboost,28360,28360,28360,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.388172+00:00
chroma-core/chroma,27895,27895,27895,0,0,True,True,160,已按历史快照计算,2026-05-11T18:12:07.394187+00:00
langfuse/langfuse,26925,26925,26925,0,0,True,False,32,缺少 24 小时前快照,2026-05-11T18:12:07.420235+00:00
apache/flink,25990,25990,25990,0,0,True,True,157,已按历史快照计算,2026-05-11T18:12:07.394187+00:00
mlflow/mlflow,25853,25853,25853,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.381494+00:00
pulumi/pulumi,25164,25164,25164,0,0,True,False,52,缺少 24 小时前快照,2026-05-11T18:12:07.416243+00:00
clockworklabs/SpacetimeDB,24646,24646,24646,0,0,True,False,20,缺少 24 小时前快照,2026-05-11T18:12:07.423233+00:00
PaddlePaddle/Paddle,23882,23882,23882,0,0,True,True,158,已按历史快照计算,2026-05-11T18:12:07.394187+00:00
volcengine/OpenViking,23735,23735,23735,0,0,True,True,84,已按历史快照计算,2026-05-11T18:12:07.410224+00:00
Tencent/ncnn,23206,23206,23206,0,0,True,True,118,已按历史快照计算,2026-05-11T18:12:07.402186+00:00
phoenixframework/phoenix,23001,23001,23001,0,0,True,False,17,缺少 24 小时前快照,2026-05-11T18:12:07.424233+00:00
argoproj/argo-cd,22854,22854,22854,0,0,True,True,142,已按历史快照计算,2026-05-11T18:12:07.397195+00:00
matplotlib/matplotlib,22782,22782,22782,0,0,True,True,69,已按历史快照计算,2026-05-11T18:12:07.413233+00:00
jaegertracing/jaeger,22780,22780,22780,0,0,True,False,30,缺少 24 小时前快照,2026-05-11T18:12:07.421234+00:00
jhipster/generator-jhipster,22407,22407,22407,0,0,True,False,51,缺少 24 小时前快照,2026-05-11T18:12:07.417240+00:00
prefecthq/prefect,22343,22343,22343,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.390172+00:00
elastic/kibana,21079,21079,21079,0,0,True,False,34,缺少 24 小时前快照,2026-05-11T18:12:07.420235+00:00
microsoft/onnxruntime,20462,20462,20462,0,0,True,True,101,已按历史快照计算,2026-05-11T18:12:07.406187+00:00
baidu/amis,18864,18864,18864,0,0,True,True,119,已按历史快照计算,2026-05-11T18:12:07.402186+00:00
tursodatabase/turso,18696,18696,18696,0,0,True,True,67,已按历史快照计算,2026-05-11T18:12:07.414232+00:00
screenpipe/screenpipe,18632,18632,18632,0,0,True,True,113,已按历史快照计算,2026-05-11T18:12:07.404186+00:00
plotly/plotly.py,18512,18512,18512,0,0,True,True,136,已按历史快照计算,2026-05-11T18:12:07.398187+00:00
microsoft/LightGBM,18335,18335,18335,0,0,True,True,169,已按历史快照计算,2026-05-11T18:12:07.388172+00:00
rqlite/rqlite,17489,17489,17489,0,0,True,False,60,缺少 24 小时前快照,2026-05-11T18:12:07.415233+00:00
weaviate/weaviate,16158,16158,16158,0,0,True,True,161,已按历史快照计算,2026-05-11T18:12:07.394187+00:00
apache/doris,15325,15325,15325,0,0,True,True,154,已按历史快照计算,2026-05-11T18:12:07.395186+00:00
jupyterlab/jupyterlab,15141,15141,15141,0,0,True,True,134,已按历史快照计算,2026-05-11T18:12:07.399187+00:00
apexcharts/apexcharts.js,15098,15098,15098,0,0,True,True,76,已按历史快照计算,2026-05-11T18:12:07.412233+00:00
ktorio/ktor,14393,14393,14393,0,0,True,False,24,缺少 24 小时前快照,2026-05-11T18:12:07.422243+00:00
jupyter/notebook,13139,13139,13139,0,0,True,True,135,已按历史快照计算,2026-05-11T18:12:07.398187+00:00
encode/starlette,12297,12297,12297,0,0,True,True,137,已按历史快照计算,2026-05-11T18:12:07.398187+00:00
StarRocks/starrocks,11657,11657,11657,0,0,True,True,64,已按历史快照计算,2026-05-11T18:12:07.414232+00:00
get-convex/convex-backend,11552,11552,11552,0,0,True,False,2,缺少 24 小时前快照,2026-05-11T18:12:07.426245+00:00
misskey-dev/misskey,11153,11153,11153,0,0,True,True,117,已按历史快照计算,2026-05-11T18:12:07.403187+00:00
frappe/frappe,10063,10063,10063,0,0,True,False,23,缺少 24 小时前快照,2026-05-11T18:12:07.423233+00:00
openebs/openebs,9731,9731,9731,0,0,True,False,44,缺少 24 小时前快照,2026-05-11T18:12:07.418238+00:00
hicccc77/WeFlow,9592,9592,9592,0,0,True,True,77,已按历史快照计算,2026-05-11T18:12:07.412233+00:00
apache/seatunnel,9316,9316,9316,0,0,True,True,153,已按历史快照计算,2026-05-11T18:12:07.395186+00:00
databendlabs/databend,9285,9285,9285,0,0,True,False,59,缺少 24 小时前快照,2026-05-11T18:12:07.415233+00:00
modelscope/modelscope,8910,8910,8910,0,0,True,True,100,已按历史快照计算,2026-05-11T18:12:07.407188+00:00
dropwizard/dropwizard,8581,8581,8581,0,0,True,False,16,缺少 24 小时前快照,2026-05-11T18:12:07.424233+00:00
webstudio-is/webstudio,8536,8536,8536,0,0,True,False,13,缺少 24 小时前快照,2026-05-11T18:12:07.424233+00:00
