repo,stars,forks,open_issues,collected_at
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T17:29:51.042932+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T17:29:51.043934+00:00
huggingface/transformers,160439,33151.0,2357.0,2026-05-10T17:29:51.044933+00:00
langchain-ai/langchain,136309,22529.0,569.0,2026-05-10T17:29:51.046847+00:00
numpy/numpy,31999,12348.0,2365.0,2026-05-10T17:29:51.048932+00:00
pandas-dev/pandas,48710,19925.0,3318.0,2026-05-10T17:29:51.048932+00:00
scikit-learn/scikit-learn,66024,26997.0,2024.0,2026-05-10T17:29:51.051940+00:00
ray-project/ray,42482,7537.0,3541.0,2026-05-10T17:29:51.053933+00:00
jax-ml/jax,35585,3569.0,2329.0,2026-05-10T17:29:51.055339+00:00
apache/spark,43249,29168.0,387.0,2026-05-10T17:29:51.057444+00:00
mlflow/mlflow,25853,5706.0,2056.0,2026-05-10T17:29:51.058462+00:00
keras-team/keras,64059,19766.0,200.0,2026-05-10T17:29:51.059480+00:00
openai/openai-python,30732,4776.0,488.0,2026-05-10T17:29:51.081255+00:00
microsoft/LightGBM,18335,4013.0,511.0,2026-05-10T17:29:51.082246+00:00
dmlc/xgboost,28360,8869.0,461.0,2026-05-10T17:29:51.082246+00:00
facebookresearch/faiss,39982,4372.0,297.0,2026-05-10T17:29:51.083249+00:00
apache/airflow,45344,17013.0,1681.0,2026-05-10T17:29:51.083249+00:00
prefecthq/prefect,22343,2298.0,844.0,2026-05-10T17:29:51.083249+00:00
streamlit/streamlit,44528,4234.0,1304.0,2026-05-10T17:29:51.085264+00:00
gradio-app/gradio,42543,3439.0,466.0,2026-05-10T17:29:51.085264+00:00
run-llama/llama_index,49300,7380.0,335.0,2026-05-10T17:29:51.085264+00:00
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T17:30:14.226775+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T17:30:14.227581+00:00
huggingface/transformers,160439,33151.0,2357.0,2026-05-10T17:30:14.228087+00:00
langchain-ai/langchain,136309,22529.0,569.0,2026-05-10T17:30:14.229092+00:00
numpy/numpy,31999,12348.0,2365.0,2026-05-10T17:30:14.229092+00:00
pandas-dev/pandas,48710,19925.0,3318.0,2026-05-10T17:30:14.230092+00:00
scikit-learn/scikit-learn,66024,26997.0,2024.0,2026-05-10T17:30:14.231095+00:00
ray-project/ray,42482,7537.0,3541.0,2026-05-10T17:30:14.233093+00:00
jax-ml/jax,35585,3569.0,2329.0,2026-05-10T17:30:14.234094+00:00
apache/spark,43249,29168.0,387.0,2026-05-10T17:30:14.236092+00:00
mlflow/mlflow,25853,5706.0,2056.0,2026-05-10T17:30:14.237093+00:00
keras-team/keras,64059,19766.0,200.0,2026-05-10T17:30:14.237093+00:00
openai/openai-python,30732,4776.0,488.0,2026-05-10T17:30:14.238093+00:00
microsoft/LightGBM,18335,4013.0,511.0,2026-05-10T17:30:14.239092+00:00
dmlc/xgboost,28360,8869.0,461.0,2026-05-10T17:30:14.239092+00:00
facebookresearch/faiss,39982,4372.0,297.0,2026-05-10T17:30:14.241092+00:00
apache/airflow,45344,17013.0,1681.0,2026-05-10T17:30:14.241092+00:00
prefecthq/prefect,22343,2298.0,844.0,2026-05-10T17:30:14.242092+00:00
streamlit/streamlit,44528,4234.0,1304.0,2026-05-10T17:30:14.244091+00:00
gradio-app/gradio,42543,3439.0,466.0,2026-05-10T17:30:14.244091+00:00
run-llama/llama_index,49300,7380.0,335.0,2026-05-10T17:30:14.244091+00:00
vllm-project/vllm,79560,16623.0,4877.0,2026-05-10T17:30:14.245091+00:00
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T17:30:36.054560+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T17:30:36.055659+00:00
huggingface/transformers,160439,33151.0,2357.0,2026-05-10T17:30:36.056572+00:00
langchain-ai/langchain,136309,22529.0,569.0,2026-05-10T17:30:36.058643+00:00
numpy/numpy,31999,12348.0,2365.0,2026-05-10T17:30:36.059657+00:00
pandas-dev/pandas,48710,19925.0,3318.0,2026-05-10T17:30:36.060645+00:00
scikit-learn/scikit-learn,66024,26997.0,2024.0,2026-05-10T17:30:36.062950+00:00
