repo,text_cluster,text_x,text_y,main_topic,readme_keywords,commit_type
tensorflow/tensorflow,4,-0.10106689,0.44487655,可视化与应用,deep-learning;deep-neural-networks;distributed;machine-learning;ml;neural-network;python;tensorflow,chore
flutter/flutter,2,0.2719346,-0.04531237,大模型应用,android;app-framework;cross-platform;dart;dart-platform;desktop;flutter;flutter-package;fuchsia;ios;linux-desktop;macos;material-design;mobile;mobile-development;skia;web;web-framework;windows,chore
ollama/ollama,5,-0.022682576,0.105226845,搜索与向量检索,deepseek;gemma;gemma3;glm;go;golang;gpt-oss;llama;llama3;llm;llms;minimax;mistral;ollama;qwen,chore
huggingface/transformers,4,-0.30010453,0.29172984,可视化与应用,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,fix
langgenius/dify,5,0.103666395,0.108291626,搜索与向量检索,agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow,chore
vercel/next.js,2,0.36840865,-0.011380918,大模型应用,blog;browser;compiler;components;hybrid;nextjs;node;react;server-rendering;ssg;static;static-site-generator;universal;vercel,chore
open-webui/open-webui,5,0.08770683,0.010806984,搜索与向量检索,ai;llm;llm-ui;llm-webui;llms;mcp;ollama;ollama-webui;open-webui;openai;openapi;rag;self-hosted;ui;webui,chore
langchain-ai/langchain,2,0.22557539,0.22155447,大模型应用,agents;ai;ai-agents;anthropic;chatgpt;deepagents;enterprise;framework;gemini;generative-ai;langchain;langgraph;llm;multiagent;open-source;openai;pydantic;python;rag;typescript,chore
kubernetes/kubernetes,1,0.21053933,-0.081827134,数据科学工具,cncf;containers;go;kubernetes,chore
supabase/supabase,3,-0.041510493,-0.25609362,分布式计算,ai;alternative;auth;database;deno;embeddings;example;firebase;nextjs;oauth2;pgvector;postgis;postgres;postgresql;postgrest;realtime;supabase;vectors;websockets,chore
angular/angular,2,0.09489287,-0.2544045,大模型应用,angular;javascript;pwa;typescript;web;web-framework;web-performance,docs
pytorch/pytorch,4,-0.3540998,0.43223393,可视化与应用,autograd;deep-learning;gpu;machine-learning;neural-network;numpy;python;tensor,chore
fastapi/fastapi,5,-0.07369422,-0.024415398,搜索与向量检索,api;async;asyncio;fastapi;framework;json;json-schema;openapi;openapi3;pydantic;python;python-types;python3;redoc;rest;starlette;swagger;swagger-ui;uvicorn;web,chore
ant-design/ant-design,2,0.34553525,0.036334977,大模型应用,ant-design;antd;design-systems;react;typescript;ui-kit;ui-library,chore
django/django,0,-0.287184,-0.16520932,深度学习框架,apps;django;framework;models;orm;python;templates;views;web,fix
opencv/opencv,4,-0.17144474,0.25744528,可视化与应用,c-plus-plus;computer-vision;deep-learning;image-processing;opencv,chore
home-assistant/core,5,-0.21163404,-0.040553544,搜索与向量检索,asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi,chore
sveltejs/svelte,2,0.051779475,-0.042991202,大模型应用,compiler;template;ui,fix
vllm-project/vllm,4,-0.049462166,0.32070845,可视化与应用,amd;blackwell;cuda;deepseek;deepseek-v3;gpt;gpt-oss;inference;kimi;llama;llm;llm-serving;model-serving;moe;openai;pytorch;qwen;qwen3;tpu;transformer,chore
elastic/elasticsearch,0,-0.5116321,-0.16382957,深度学习框架,elasticsearch;java;search-engine,chore
