repo_a,repo_b,similarity
tensorflow/tensorflow,tensorflow/tensorflow,1.0
tensorflow/tensorflow,flutter/flutter,0.306469
tensorflow/tensorflow,ollama/ollama,0.297037
tensorflow/tensorflow,huggingface/transformers,0.440092
tensorflow/tensorflow,langgenius/dify,0.393498
tensorflow/tensorflow,vercel/next.js,0.358326
tensorflow/tensorflow,open-webui/open-webui,0.373821
tensorflow/tensorflow,langchain-ai/langchain,0.404453
tensorflow/tensorflow,kubernetes/kubernetes,0.461178
tensorflow/tensorflow,supabase/supabase,0.182189
tensorflow/tensorflow,angular/angular,0.132302
tensorflow/tensorflow,pytorch/pytorch,0.636982
tensorflow/tensorflow,fastapi/fastapi,0.421191
tensorflow/tensorflow,ant-design/ant-design,0.25448
tensorflow/tensorflow,django/django,0.195065
tensorflow/tensorflow,opencv/opencv,0.435591
tensorflow/tensorflow,home-assistant/core,0.204276
tensorflow/tensorflow,sveltejs/svelte,0.331786
tensorflow/tensorflow,vllm-project/vllm,0.467681
tensorflow/tensorflow,elastic/elasticsearch,0.255957
tensorflow/tensorflow,grafana/grafana,0.365676
tensorflow/tensorflow,apache/superset,0.217692
tensorflow/tensorflow,pallets/flask,0.348086
tensorflow/tensorflow,ansible/ansible,0.356313
tensorflow/tensorflow,apache/echarts,0.196685
tensorflow/tensorflow,scikit-learn/scikit-learn,0.55527
tensorflow/tensorflow,keras-team/keras,0.483996
tensorflow/tensorflow,prometheus/prometheus,0.288797
tensorflow/tensorflow,commaai/openpilot,0.227637
tensorflow/tensorflow,pocketbase/pocketbase,0.192565
tensorflow/tensorflow,ultralytics/ultralytics,0.512065
tensorflow/tensorflow,appwrite/appwrite,0.232764
tensorflow/tensorflow,vuejs/core,0.408869
tensorflow/tensorflow,expo/expo,0.169053
tensorflow/tensorflow,run-llama/llama_index,0.491273
tensorflow/tensorflow,pandas-dev/pandas,0.435678
tensorflow/tensorflow,hashicorp/terraform,0.245737
tensorflow/tensorflow,prisma/prisma,0.138132
tensorflow/tensorflow,apache/airflow,0.175207
tensorflow/tensorflow,streamlit/streamlit,0.401433
tensorflow/tensorflow,milvus-io/milvus,0.448306
tensorflow/tensorflow,getsentry/sentry,0.237797
tensorflow/tensorflow,apache/spark,0.286351
tensorflow/tensorflow,gradio-app/gradio,0.473191
tensorflow/tensorflow,ray-project/ray,0.507917
tensorflow/tensorflow,HKUDS/nanobot,0.479141
tensorflow/tensorflow,pingcap/tidb,0.275746
tensorflow/tensorflow,facebookresearch/faiss,0.345164
tensorflow/tensorflow,photoprism/photoprism,0.616506
tensorflow/tensorflow,istio/istio,0.423347
tensorflow/tensorflow,duckdb/duckdb,0.220454
tensorflow/tensorflow,docker/compose,0.173692
tensorflow/tensorflow,typeorm/typeorm,0.117112
tensorflow/tensorflow,jax-ml/jax,0.4829
tensorflow/tensorflow,nextcloud/server,0.309492
tensorflow/tensorflow,PostHog/posthog,0.156376
