Idx,Listinginfo1,LogInfo1,LogInfo2,LogInfo3
10001,2014-03-05,107,6,2014-02-20
10001,2014-03-05,107,6,2014-02-23
10001,2014-03-05,107,6,2014-02-24
10001,2014-03-05,107,6,2014-02-25
10001,2014-03-05,107,6,2014-02-27
10001,2014-03-05,107,6,2014-03-04
10001,2014-03-05,1,1,2014-02-20
10001,2014-03-05,1,20,2014-02-20
10001,2014-03-05,12,0,2014-02-20
10001,2014-03-05,1,2,2014-02-20
10001,2014-03-05,2,1,2014-02-20
10001,2014-03-05,4,1,2014-02-20
10001,2014-03-05,-4,6,2014-02-20
10001,2014-03-05,-4,6,2014-02-20
10001,2014-03-05,-4,6,2014-02-23
10001,2014-03-05,-4,6,2014-02-24
10001,2014-03-05,-4,6,2014-02-25
10001,2014-03-05,-4,6,2014-02-27
10001,2014-03-05,-4,6,2014-03-04
10002,2014-02-26,10,0,2013-06-21
10002,2014-02-26,107,6,2013-07-08
10002,2014-02-26,107,6,2013-07-08
10002,2014-02-26,1,1,2013-06-21
10002,2014-02-26,1,2,2014-02-20
10002,2014-02-26,1,6,2013-06-21
10002,2014-02-26,2,1,2013-06-21
10002,2014-02-26,4,1,2013-06-21
10002,2014-02-26,4,19,2013-07-08
10002,2014-02-26,-4,6,2014-02-20
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,-4,6,2014-02-25
10002,2014-02-26,4,7,2014-02-20
10003,2014-02-28,1,0,2014-02-20
10003,2014-02-28,1,1,2014-02-20
10003,2014-02-28,1,20,2014-02-20
10003,2014-02-28,1,2,2014-02-20
10003,2014-02-28,2,1,2014-02-20
10003,2014-02-28,4,1,2014-02-20
10003,2014-02-28,-4,6,2014-02-20
10003,2014-02-28,-4,6,2014-02-21
10003,2014-02-28,-4,6,2014-02-22
10003,2014-02-28,-4,6,2014-02-26
10003,2014-02-28,-4,6,2014-02-27
10003,2014-02-28,99,6,2014-02-21
10003,2014-02-28,99,6,2014-02-21
10003,2014-02-28,99,6,2014-02-21
10006,2014-02-25,1,0,2014-02-20
10006,2014-02-25,1,1,2014-02-20
10006,2014-02-25,1,20,2014-02-20
10006,2014-02-25,1,2,2014-02-20
10006,2014-02-25,2,1,2014-02-20
10006,2014-02-25,4,1,2014-02-20
10006,2014-02-25,-4,6,2014-02-20
10007,2014-02-27,1,2,2014-02-20
10007,2014-02-27,2,21,2014-02-27
10007,2014-02-27,-4,6,2014-02-20
10007,2014-02-27,-4,6,2014-02-20
10007,2014-02-27,-4,6,2014-02-20
10008,2014-02-27,1,0,2014-02-20
10008,2014-02-27,1,1,2014-02-20
10008,2014-02-27,1,20,2014-02-20
10008,2014-02-27,1,2,2014-02-20
10008,2014-02-27,2,1,2014-02-20
10008,2014-02-27,4,1,2014-02-20
10008,2014-02-27,-4,6,2014-02-20
10008,2014-02-27,-4,6,2014-02-25
10008,2014-02-27,-4,6,2014-02-26
10008,2014-02-27,4,7,2014-02-25
10011,2014-02-24,-10,13,2014-02-21
10011,2014-02-24,10,20,2014-02-24
10011,2014-02-24,12,0,2012-08-15
10011,2014-02-24,1,2,2014-02-20
10011,2014-02-24,2,10,2014-02-24
10011,2014-02-24,2,10,2014-02-24
10011,2014-02-24,4,1,2014-02-21
10011,2014-02-24,4,6,2012-08-15
10011,2014-02-24,-4,6,2014-02-20
10011,2014-02-24,-4,6,2014-02-21
