Idx,ListingInfo1,UserupdateInfo1,UserupdateInfo2
10001,2014/03/05,_EducationId,2014/02/20
10001,2014/03/05,_HasBuyCar,2014/02/20
10001,2014/03/05,_LastUpdateDate,2014/02/20
10001,2014/03/05,_MarriageStatusId,2014/02/20
10001,2014/03/05,_MobilePhone,2014/02/20
10001,2014/03/05,_MobilePhone,2014/02/20
10001,2014/03/05,_QQ,2014/02/20
10001,2014/03/05,_ResidenceAddress,2014/02/20
10001,2014/03/05,_ResidencePhone,2014/02/20
10001,2014/03/05,_ResidenceTypeId,2014/02/20
10001,2014/03/05,_ResidenceYears,2014/02/20
10002,2014/02/26,_age,2013/06/21
10002,2014/02/26,_educationId,2013/06/21
10002,2014/02/26,_gender,2013/06/21
10002,2014/02/26,_hasBuyCar,2013/06/21
10002,2014/02/26,_idNumber,2013/06/21
10002,2014/02/26,_lastUpdateDate,2013/06/21
10002,2014/02/26,_lastUpdateDate,2013/07/08
10002,2014/02/26,_lastUpdateDate,2013/07/08
10002,2014/02/26,_lastUpdateDate,2013/07/08
10002,2014/02/26,_lastUpdateDate,2013/07/08
10002,2014/02/26,_marriageStatusId,2013/06/21
10002,2014/02/26,_mobilePhone,2013/06/21
10002,2014/02/26,_MobilePhone,2014/02/20
10002,2014/02/26,_qQ,2013/06/21
10002,2014/02/26,_realName,2013/06/21
10002,2014/02/26,_regStepId,2013/06/21
10002,2014/02/26,_regStepId,2013/06/21
10002,2014/02/26,_residenceAddress,2013/06/21
10002,2014/02/26,_residencePhone,2013/06/21
10002,2014/02/26,_residenceTypeId,2013/06/21
10002,2014/02/26,_residenceYears,2013/06/21
10003,2014/02/28,_EducationId,2014/02/20
10003,2014/02/28,_HasBuyCar,2014/02/20
10003,2014/02/28,_MarriageStatusId,2014/02/20
10003,2014/02/28,_MobilePhone,2014/02/20
10003,2014/02/28,_MobilePhone,2014/02/20
10003,2014/02/28,_QQ,2014/02/20
10003,2014/02/28,_ResidenceAddress,2014/02/20
10003,2014/02/28,_ResidencePhone,2014/02/20
10003,2014/02/28,_ResidenceTypeId,2014/02/20
10003,2014/02/28,_ResidenceYears,2014/02/20
10006,2014/02/25,_EducationId,2014/02/20
10006,2014/02/25,_HasBuyCar,2014/02/20
10006,2014/02/25,_MarriageStatusId,2014/02/20
10006,2014/02/25,_MobilePhone,2014/02/20
10006,2014/02/25,_MobilePhone,2014/02/20
10006,2014/02/25,_QQ,2014/02/20
10006,2014/02/25,_ResidenceAddress,2014/02/20
10006,2014/02/25,_ResidencePhone,2014/02/20
10006,2014/02/25,_ResidenceTypeId,2014/02/20
10006,2014/02/25,_ResidenceYears,2014/02/20
10007,2014/02/27,_EducationId,2014/02/19
10007,2014/02/27,_HasBuyCar,2014/02/19
10007,2014/02/27,_LastUpdateDate,2014/02/20
10007,2014/02/27,_MarriageStatusId,2014/02/19
10007,2014/02/27,_MobilePhone,2014/02/19
10007,2014/02/27,_QQ,2014/02/19
10007,2014/02/27,_ResidenceAddress,2014/02/19
10007,2014/02/27,_ResidencePhone,2014/02/19
10007,2014/02/27,_ResidenceTypeId,2014/02/19
10007,2014/02/27,_ResidenceYears,2014/02/19
10008,2014/02/27,_EducationId,2014/02/20
10008,2014/02/27,_HasBuyCar,2014/02/20
10008,2014/02/27,_MarriageStatusId,2014/02/20
10008,2014/02/27,_MobilePhone,2014/02/20
10008,2014/02/27,_QQ,2014/02/20
10008,2014/02/27,_ResidenceAddress,2014/02/20
10008,2014/02/27,_ResidencePhone,2014/02/20
10008,2014/02/27,_ResidenceTypeId,2014/02/20
10008,2014/02/27,_ResidenceYears,2014/02/20
10011,2014/02/24,_EducationId,2014/02/20
10011,2014/02/24,_HasBuyCar,2014/02/20
10011,2014/02/24,_MarriageStatusId,2014/02/20
10011,2014/02/24,_MobilePhone,2014/02/20
10011,2014/02/24,_MobilePhone,2014/02/20
10011,2014/02/24,_QQ,2014/02/20
10011,2014/02/24,_ResidenceAddress,2014/02/20
10011,2014/02/24,_ResidencePhone,2014/02/20
10011,2014/02/24,_ResidenceTypeId,2014/02/20
10011,2014/02/24,_ResidenceYears,2014/02/20
10015,2014/02/28,_EducationId,2014/01/17
10015,2014/02/28,_HasBuyCar,2014/01/17
10015,2014/02/28,_IsCash,2014/01/24
10015,2014/02/28,_LastUpdateDate,2014/01/24
10015,2014/02/28,_LastUpdateDate,2014/01/24
10015,2014/02/28,_MarriageStatusId,2014/01/17
10015,2014/02/28,_MobilePhone,2014/01/17
10015,2014/02/28,_QQ,2014/01/17
10015,2014/02/28,_ResidenceAddress,2014/01/17
10015,2014/02/28,_ResidencePhone,2014/01/17
10015,2014/02/28,_ResidenceTypeId,2014/01/17
10015,2014/02/28,_ResidenceYears,2014/01/17
10019,2014/02/24,_CompanyPhone,2014/02/24
10019,2014/02/24,_EducationId,2013/09/11
10019,2014/02/24,_HasBuyCar,2013/09/11
10019,2014/02/24,_IdNumber,2013/09/11
10019,2014/02/24,_LastUpdateDate,2013/09/11
10019,2014/02/24,_MarriageStatusId,2013/09/11
10019,2014/02/24,_MarriageStatusId,2014/02/22
10019,2014/02/24,_MobilePhone,2013/09/11
10019,2014/02/24,_MobilePhone,2013/09/11
10019,2014/02/24,_Phone,2014/02/23
10019,2014/02/24,_QQ,2013/09/11
10019,2014/02/24,_RealName,2013/09/11
10019,2014/02/24,_ResidencePhone,2013/09/11
10019,2014/02/24,_ResidenceTypeId,2013/09/11
10019,2014/02/24,_ResidenceTypeId,2014/02/22
10019,2014/02/24,_ResidenceYears,2013/09/11
10021,2014/02/27,_HasBuyCar,2014/02/20
10021,2014/02/27,_ResidencePhone,2014/02/20
10021,2014/02/27,_ResidenceTypeId,2014/02/20
10021,2014/02/27,_ResidenceYears,2014/02/20
10022,2014/02/25,_CompanyName,2014/02/20
10022,2014/02/25,_EducationId,2014/02/20
10022,2014/02/25,_HasBuyCar,2014/02/20
10022,2014/02/25,_MarriageStatusId,2014/02/20
10022,2014/02/25,_MobilePhone,2014/02/20
10022,2014/02/25,_MobilePhone,2014/02/20
10022,2014/02/25,_QQ,2014/02/20
10022,2014/02/25,_QQ,2014/02/20
10022,2014/02/25,_ResidenceAddress,2014/02/20
10022,2014/02/25,_ResidenceAddress,2014/02/20
10022,2014/02/25,_ResidencePhone,2014/02/20
10022,2014/02/25,_ResidenceTypeId,2014/02/20
10022,2014/02/25,_ResidenceYears,2014/02/20
10024,2014/03/06,_EducationId,2014/02/20
10024,2014/03/06,_HasBuyCar,2014/02/20
10024,2014/03/06,_MarriageStatusId,2014/02/20
10024,2014/03/06,_MobilePhone,2014/02/20
10024,2014/03/06,_MobilePhone,2014/02/20
10024,2014/03/06,_QQ,2014/02/20
10024,2014/03/06,_ResidenceAddress,2014/02/20
10024,2014/03/06,_ResidencePhone,2014/02/20
10024,2014/03/06,_ResidenceTypeId,2014/02/20
10024,2014/03/06,_ResidenceYears,2014/02/20
10026,2014/03/04,_Age,2014/02/20
10026,2014/03/04,_EducationId,2014/02/20
10026,2014/03/04,_EducationId,2014/03/02
10026,2014/03/04,_Gender,2014/02/20
10026,2014/03/04,_HasBuyCar,2014/02/20
10026,2014/03/04,_HasBuyCar,2014/03/02
10026,2014/03/04,_IdNumber,2014/02/20
10026,2014/03/04,_LastUpdateDate,2014/02/20
10026,2014/03/04,_LastUpdateDate,2014/03/02
10026,2014/03/04,_MarriageStatusId,2014/02/20
10026,2014/03/04,_MobilePhone,2014/02/20
10026,2014/03/04,_MobilePhone,2014/02/20
10026,2014/03/04,_OtherWebShopType,2014/03/02
10026,2014/03/04,_QQ,2014/02/20
10026,2014/03/04,_RealName,2014/02/20
10026,2014/03/04,_ResidencePhone,2014/02/20
10026,2014/03/04,_ResidenceTypeId,2014/02/20
10026,2014/03/04,_ResidenceYears,2014/02/20
10026,2014/03/04,_turnover,2014/02/20
10026,2014/03/04,_turnover,2014/03/02
10026,2014/03/04,_WebShopTypeId,2014/03/02
10027,2014/02/26,_EducationId,2014/02/19
10027,2014/02/26,_HasBuyCar,2014/02/19
10027,2014/02/26,_MarriageStatusId,2014/02/19
10027,2014/02/26,_MobilePhone,2014/02/19
10027,2014/02/26,_MobilePhone,2014/02/20
10027,2014/02/26,_QQ,2014/02/19
10027,2014/02/26,_ResidenceAddress,2014/02/19
10027,2014/02/26,_ResidencePhone,2014/02/19
10027,2014/02/26,_ResidenceTypeId,2014/02/19
10027,2014/02/26,_ResidenceYears,2014/02/19
10031,2014/03/07,_EducationId,2014/02/20
10031,2014/03/07,_HasBuyCar,2014/02/20
10031,2014/03/07,_MarriageStatusId,2014/02/20
10031,2014/03/07,_MobilePhone,2014/02/20
10031,2014/03/07,_MobilePhone,2014/02/20
10031,2014/03/07,_QQ,2014/02/20
10031,2014/03/07,_ResidenceAddress,2014/02/20
10031,2014/03/07,_ResidencePhone,2014/02/20
10031,2014/03/07,_ResidenceTypeId,2014/02/20
10031,2014/03/07,_ResidenceYears,2014/02/20
10032,2014/02/26,_EducationId,2014/02/20
10032,2014/02/26,_HasBuyCar,2014/02/20
10032,2014/02/26,_MarriageStatusId,2014/02/20
10032,2014/02/26,_MobilePhone,2014/02/20
10032,2014/02/26,_MobilePhone,2014/02/20
10032,2014/02/26,_QQ,2014/02/20
10032,2014/02/26,_ResidenceAddress,2014/02/20
10032,2014/02/26,_ResidencePhone,2014/02/20
10032,2014/02/26,_ResidenceTypeId,2014/02/20
10032,2014/02/26,_ResidenceYears,2014/02/20
10036,2014/02/27,_CompanyName,2014/02/21
10036,2014/02/27,_EducationId,2014/02/19
10036,2014/02/27,_EducationId,2014/02/21
10036,2014/02/27,_HasBuyCar,2014/02/19
10036,2014/02/27,_LastUpdateDate,2014/02/21
10036,2014/02/27,_LastUpdateDate,2014/02/21
10036,2014/02/27,_MarriageStatusId,2014/02/19
10036,2014/02/27,_MobilePhone,2014/02/19
10036,2014/02/27,_MobilePhone,2014/02/20
10036,2014/02/27,_QQ,2014/02/19
10036,2014/02/27,_ResidenceAddress,2014/02/19
10036,2014/02/27,_ResidencePhone,2014/02/19
10036,2014/02/27,_ResidenceTypeId,2014/02/19
10036,2014/02/27,_ResidenceYears,2014/02/19
10039,2014/02/22,_EducationId,2014/02/20
10039,2014/02/22,_HasBuyCar,2014/02/20
10039,2014/02/22,_MarriageStatusId,2014/02/20
10039,2014/02/22,_MobilePhone,2014/02/20
10039,2014/02/22,_MobilePhone,2014/02/20
10039,2014/02/22,_QQ,2014/02/20
10039,2014/02/22,_ResidenceAddress,2014/02/20
10039,2014/02/22,_ResidencePhone,2014/02/20
10039,2014/02/22,_ResidenceTypeId,2014/02/20
10039,2014/02/22,_ResidenceYears,2014/02/20
10040,2014/02/23,_EducationId,2014/02/20
10040,2014/02/23,_HasBuyCar,2014/02/20
10040,2014/02/23,_MarriageStatusId,2014/02/20
10040,2014/02/23,_MobilePhone,2014/02/20
10040,2014/02/23,_QQ,2014/02/20
10040,2014/02/23,_ResidenceAddress,2014/02/20
10040,2014/02/23,_ResidencePhone,2014/02/20
10040,2014/02/23,_ResidenceTypeId,2014/02/20
10040,2014/02/23,_ResidenceYears,2014/02/20
10044,2014/02/24,_EducationId,2014/02/20
10044,2014/02/24,_HasBuyCar,2014/02/20
10044,2014/02/24,_LastUpdateDate,2014/02/24
10044,2014/02/24,_MarriageStatusId,2014/02/20
10044,2014/02/24,_MobilePhone,2014/02/20
10044,2014/02/24,_MobilePhone,2014/02/20
10044,2014/02/24,_Phone,2014/02/24
10044,2014/02/24,_QQ,2014/02/20
10044,2014/02/24,_ResidenceAddress,2014/02/20
10044,2014/02/24,_ResidencePhone,2014/02/20
10044,2014/02/24,_ResidenceTypeId,2014/02/20
10044,2014/02/24,_ResidenceYears,2014/02/20
10050,2014/02/26,_EducationId,2014/02/20
10050,2014/02/26,_HasBuyCar,2014/02/20
10050,2014/02/26,_LastUpdateDate,2014/02/24
10050,2014/02/26,_MarriageStatusId,2014/02/20
10050,2014/02/26,_MarriageStatusId,2014/02/20
10050,2014/02/26,_MobilePhone,2014/02/20
10050,2014/02/26,_MobilePhone,2014/02/20
10050,2014/02/26,_QQ,2014/02/20
10050,2014/02/26,_ResidenceAddress,2014/02/20
10050,2014/02/26,_ResidencePhone,2014/02/20
10050,2014/02/26,_ResidenceTypeId,2014/02/20
10050,2014/02/26,_ResidenceYears,2014/02/20
10054,2014/02/24,_EducationId,2014/02/20
10054,2014/02/24,_HasBuyCar,2014/02/20
10054,2014/02/24,_MarriageStatusId,2014/02/20
10054,2014/02/24,_MobilePhone,2014/02/20
10054,2014/02/24,_MobilePhone,2014/02/20
10054,2014/02/24,_QQ,2014/02/20
10054,2014/02/24,_ResidenceAddress,2014/02/20
10054,2014/02/24,_ResidencePhone,2014/02/20
10054,2014/02/24,_ResidenceTypeId,2014/02/20
10054,2014/02/24,_ResidenceYears,2014/02/20
10059,2014/02/26,_Age,2014/02/20
